¿Qué proporción de fibras corticoespinales cruza en la decusación piramidal y adónde van?,El 85 % cruza y forma el tracto corticoespinal lateral. El 15 % restante no cruza y desciende como tracto corticoespinal anterior.,Tronco
¿Qué lámina FAN muestra la parte media de la decusación piramidal?,FAN-1. Se reconoce por los haces de fibras que cruzan oblicuamente la línea media ventral y porque todavía existen las astas grises anteriores.,Tronco
En FAN-1 los núcleos grácil y cuneiforme ya existen. ¿Qué estructura todavía NO se ve y por qué?,"El lemnisco medial: los núcleos están presentes pero sus axones aún no se han cruzado en la decusación de los lemniscos, que ocurre más rostral.",Tronco
¿Dónde y a partir de qué se forma el lemnisco medial?,"En el bulbo caudal, en la decusación de los lemniscos mediales. Los axones de los núcleos grácil y cuneiforme cruzan como fibras arciformes internas y giran en sentido cefálico.",Tronco
Firma de identificación de FAN-2,"Fibras arciformes internas cruzando hacia la línea media, con pirámides ya compactas que no cruzan. Aparecen los núcleos del XII y motor dorsal del X, pero aún no hay oliva.",Tronco
Firma de identificación de FAN-3,La oliva inferior. Con ella aparecen el lemnisco medial ya formado (banda paramediana) y el cuerpo restiforme en dorsolateral.,Tronco
¿Qué forma tiene el núcleo olivar inferior en un corte?,"Forma de bolsa desinflada o saco plegado, con el hilio dirigido en sentido medial.",Tronco
¿Cuál es el origen de las fibras trepadoras del cerebelo?,"El complejo olivar inferior. Sus fibras olivocerebelosas cruzan la línea media, entran por el pedúnculo cerebeloso inferior y excitan las células de Purkinje.",Tronco
¿Qué es el cuerpo restiforme?,"El pedúnculo cerebeloso inferior. Su componente mayoritario son las fibras olivocerebelosas, seguidas de las del tracto espinocerebeloso posterior.",Tronco
Firma de identificación de FAN-4,"Bulbo abierto y ancho con núcleos vestibulares bajo el área vestibular, núcleo coclear dorsal sobre el pedúnculo cerebeloso inferior y estrías medulares. Es el nivel del nervio IX.",Tronco
Firma de identificación de FAN-5,"Aparece la base del puente con núcleos pontinos y pedúnculos cerebelosos medios, más el cuerpo trapezoide y el par de núcleos del V (sensitivo principal lateral, motor medial).",Tronco
¿Qué es el cuerpo trapezoide y adónde lleva la señal?,"Los axones cruzados de los núcleos cocleares. Ascienden por el lemnisco lateral contralateral hasta el colículo inferior, con relevo parcial en el núcleo olivar superior.",Tronco
Firma de identificación de FAN-6,El cuarto ventrículo ha sido sustituido por el acueducto cerebral. Emerge el nervio IV por dorsal y aparece el locus caeruleus en el extremo superior del surco limitante.,Tronco
Firma de identificación de FAN-7,"Tres marcas juntas: colículo inferior, decusación del brachium conjunctivum (pedúnculos cerebelosos superiores) y sustancia negra entre tegmento y base del pedúnculo.",Tronco
¿Cuál es el único par craneal que sale por la cara dorsal del tronco?,El troclear (IV). Se decusa en el velo medular superior y emerge justo por debajo de los colículos inferiores. Inerva el oblicuo superior.,Tronco
¿Cuál es el único grupo de somas de neuronas sensitivas primarias dentro del SNC?,El núcleo mesencefálico del trigémino. Sus neuronas unipolares son homólogas a las de un ganglio espinal y transportan propiocepción de los músculos masticadores.,Tronco
¿Qué posición ocupa el tracto espinotalámico a lo largo del tronco?,"Lateral en todos los niveles, sin cambios apreciables. Por eso no sirve para localizar un corte, pero sí para localizar una lesión.",Tronco
¿Cómo cambia de posición el lemnisco medial de bulbo a mesencéfalo?,"Paramediano y vertical en el bulbo, se horizontaliza y desplaza lateralmente en el puente, y queda lateral en el tegmento del mesencéfalo.",Tronco
Somatotopía del lemnisco medial en el bulbo,"Las fibras del pie van en posición más anterior (junto a la pirámide) y las del cuello en la más posterior. En el puente, tras rotar, el orden medial→lateral es cuello, brazo, tronco, pierna.",Tronco
Somatotopía de la base del pedúnculo cerebral,"Los tres quintos centrales son corticoespinales, ordenados de medial a lateral: cuello, brazo, tronco, pierna. La quinta parte medial es frontopontina; la lateral, parietotemporopontina.",Tronco
¿Qué cinco estructuras aparecen en los 7 cortes FAN y por tanto no localizan el nivel?,"Tracto espinotalámico lateral, fascículo longitudinal medial, tracto rubroespinal, tracto tectoespinal y tracto corticoespinal.",Tronco
Regla del surco limitante en el suelo del cuarto ventrículo,"Los núcleos motores quedan mediales al surco limitante y los sensitivos laterales. Deriva de las placas basal (ventral, eferente) y alar (dorsal, aferente) del embrión.",Tronco
